IDDate,CEtaCod2,IFRM0,IFRM1,IFRM2,IFRM3,IFRM4,IFRC0,IFRC1,IFRC2,IFRC3,IFRC4
355,1,1,1,1,1,1,1,1,1,1,1
356,1,1,1,1,1,1,1,1,1,1,1
357,1,1,1,1,1,1,1,1,1,1,1
358,1,1,1,1,1,1,1,1,1,1,1
359,1,1,1,1,1,1,1,1,1,1,1
360,1,1,1,1,1,1,1,1,1,1,1
361,1,1,1,1,1,1,1,1,1,1,1
362,1,1,1,1,1,1,1,1,1,1,1
363,1,1,1,1,1,1,1,1,1,1,1
364,1,1,1,1,1,1,1,1,1,1,1
365,1,1,1,1,1,1,1,1,1,1,1
366,1,1,1,1,1,1,1,1,1,1,1
367,1,1,1,1,1,1,1,1,1,1,1
368,1,1,1,1,1,1,1,1,1,1,1
369,1,1,1,1,1,1,1,1,1,1,1
370,1,1,1,1,1,1,1,1,1,1,1
371,1,1,1,1,1,1,1,1,1,1,1
372,1,1,1,1,1,1,1,1,1,1,1
373,1,1,1,1,1,1,1,1,1,1,1
374,1,1,1,1,1,1,1,1,1,1,1
375,1,1,1,1,1,1,1,1,1,1,1
376,1,1,1,1,1,1,1,1,1,1,1
377,1,1,1,1,1,1,1,1,1,1,1
378,1,1,1,1,1,1,1,1,1,1,1
379,1,1,1,1,1,1,1,1,1,1,1
380,1,1,1,1,1,1,1,1,1,1,1
381,1,1,1,1,1,1,1,1,1,1,1
382,1,1,1,1,1,1,1,1,1,1,1
383,1,1,1,1,1,1,1,1,1,1,1
384,1,1,1,1,1,1,1,1,1,1,1
385,1,1,1,1,1,1,1,1,1,1,1
386,1,1,1,1,1,1,1,1,1,1,1
387,1,1,1,1,1,1,1,1,1,1,1
388,1,1,1,1,1,1,1,1,1,1,1
389,1,1,1,1,1,1,1,1,1,1,1
390,1,1,1,1,1,1,1,1,1,1,1
391,1,1,1,1,1,1,1,1,1,1,1
392,1,1,1,1,1,1,1,1,1,1,1
393,1,1,1,1,1,1,1,1,1,1,1
394,1,1,1,1,1,1,1,1,1,1,1
395,1,1,1,1,1,1,1,1,1,1,1
396,1,1,1,1,1,1,1,1,1,1,1
397,1,1,1,1,1,1,1,1,1,1,1
398,1,1,1,1,1,1,1,1,1,1,1
399,1,1,1,1,1,1,1,1,1,1,1
400,1,1,1,1,1,1,1,1,1,1,1
401,1,1,1,1,1,1,1,1,1,1,1
402,1,1,1,1,1,1,1,1,1,1,1
403,1,1,1,1,1,1,1,1,1,1,1
404,1,1,1,1,1,1,1,1,1,1,1
405,1,1,1,1,1,1,1,1,1,1,1
406,1,1,1,1,1,1,1,1,1,1,1
407,1,1,1,1,1,1,1,1,1,1,1
408,1,1,1,1,1,1,1,1,1,1,1
409,1,1,1,1,1,1,1,1,1,1,1
410,1,1,1,1,1,1,1,1,1,1,1
411,1,1,1,1,1,1,1,1,1,1,1
412,1,1,1,1,1,1,1,1,1,1,1
413,1,1,1,1,1,1,1,1,1,1,1
414,1,1,1,1,1,1,1,1,1,1,1
415,1,1,1,1,1,1,1,1,1,1,1
416,1,1,1,1,1,1,1,1,1,1,1
417,1,1,1,1,1,1,1,1,1,1,1
418,1,1,1,1,1,1,1,1,1,1,1
419,1,1,1,1,1,1,1,1,1,1,1
420,1,1,1,1,1,1,1,1,1,1,1
421,1,1,1,1,1,1,1,1,1,1,1
422,1,1,1,1,1,1,1,1,1,1,1
423,1,1,1,1,1,1,1,1,1,1,1
424,1,1,1,1,1,1,1,1,1,1,1
425,1,1,1,1,1,1,1,1,1,1,1
426,1,1,1,1,1,1,1,1,1,1,1
427,1,1,1,1,1,1,1,1,1,1,1
428,1,1,1,1,1,1,1,1,1,1,1
429,1,1,1,1,1,1,1,1,1,1,1
430,1,1,1,1,1,1,1,1,1,1,1
431,1,1,1,1,1,1,1,1,1,1,1
432,1,1,1,1,1,1,1,1,1,1,1
433,1,1,1,1,1,1,1,1,1,1,1
434,1,1,1,1,1,1,1,1,1,1,1
435,1,1,1,1,1,1,1,1,1,1,1
436,1,1,1,1,1,1,1,1,1,1,1
437,1,1,1,1,1,1,1,1,1,1,1
438,1,1,1,1,1,1,1,1,1,1,1
439,1,1,1,1,1,1,1,1,1,1,1
440,1,1,1,1,1,1,1,1,1,1,1
441,1,1,1,1,1,1,1,1,1,1,1
442,1,1,1,1,1,1,1,1,1,1,1
443,1,1,1,1,1,1,1,1,1,1,1
444,1,1,1,1,1,1,1,1,1,1,1
445,1,1,1,1,1,1,1,1,1,1,1
446,1,1,1,1,1,1,1,1,1,1,1
447,1,1,1,1,1,1,1,1,1,1,1
448,1,1,1,1,1,1,1,1,1,1,1
449,1,1,1,1,1,1,1,1,1,1,1
450,1,1,1,1,1,1,1,1,1,1,1
451,1,1,1,1,1,1,1,1,1,1,1
452,1,1,1,1,1,1,1,1,1,1,1
453,1,1,1,1,1,1,1,1,1,1,1
454,1,1,1,1,1,1,1,1,1,1,1
455,1,1,1,1,1,1,1,1,1,1,1
456,1,1,1,1,1,1,1,1,1,1,1
457,1,1,1,1,1,1,1,1,1,1,1
458,1,1,1,1,1,1,1,1,1,1,1
459,1,1,1,1,1,1,1,1,1,1,1
460,1,1,1,1,1,1,1,1,1,1,1
461,1,1,1,1,1,1,1,1,1,1,1
462,1,1,1,1,1,1,1,1,1,1,1
463,1,1,1,1,1,1,1,1,1,1,1
464,1,1,1,1,1,1,1,1,1,1,1
465,1,1,1,1,1,1,1,1,1,1,1
466,1,1,1,1,1,1,1,1,1,1,1
467,1,1,1,1,1,1,1,1,1,1,1
468,1,1,1,1,1,1,1,1,1,1,1
469,1,1,1,1,1,1,1,1,1,1,1
470,1,1,1,1,1,1,1,1,1,1,1
471,1,1,1,1,1,1,1,1,1,1,1
472,1,1,1,1,1,1,1,1,1,1,1
473,1,1,1,1,1,1,1,1,1,1,1
474,1,1,1,1,1,1,1,1,1,1,1
475,1,1,1,1,1,1,1,1,1,1,1
476,1,1,1,1,1,1,1,1,1,1,1
477,1,1,1,1,1,1,1,1,1,1,1
478,1,1,1,1,1,1,1,1,1,1,1
479,1,1,1,1,1,1,1,1,1,1,1
480,1,1,1,1,1,1,1,1,1,1,1
481,1,1,1,1,1,1,1,1,1,1,1
482,1,1,1,1,1,1,1,1,1,1,1
483,1,1,1,1,1,1,1,1,1,1,1
484,1,1,1,1,1,1,1,1,1,1,1
485,1,1,1,1,1,1,1,1,1,1,1
486,1,1,1,1,1,1,1,1,1,1,1
487,1,1,1,1,1,1,1,1,1,1,1
488,1,1,1,1,1,1,1,1,1,1,1
489,1,1,1,1,1,1,1,1,1,1,1
490,1,1,1,1,1,1,1,1,1,1,1
491,1,1,1,1,1,1,1,1,1,1,1
492,1,1,1,1,1,1,1,1,1,1,1
493,1,1,1,1,1,1,1,1,1,1,1
494,1,1,1,1,1,1,1,1,1,1,1
495,1,1,1,1,1,1,1,1,1,1,1
496,1,1,1,1,1,1,1,1,1,1,1
497,1,1,1,1,1,1,1,1,1,1,1
498,1,1,1,1,1,1,1,1,1,1,1
499,1,1,1,1,1,1,1,1,1,1,1
500,1,1,1,1,1,1,1,1,1,1,1
501,1,1,1,1,1,1,1,1,1,1,1
502,1,1,1,1,1,1,1,1,1,1,1
503,1,1,1,1,1,1,1,1,1,1,1
504,1,1,1,1,1,1,1,1,1,1,1
505,1,1,1,1,1,1,1,1,1,1,1
506,1,1,1,1,1,1,1,1,1,1,1
507,1,1,1,1,1,1,1,1,1,1,1
508,1,1,1,1,1,1,1,1,1,1,1
509,1,1,1,1,1,1,1,1,1,1,1
510,1,1,1,1,1,1,1,1,1,1,1
511,1,1,1,1,1,1,1,1,1,1,1
512,1,1,1,1,1,1,1,1,1,1,1
513,1,1,1,1,1,1,1,1,1,1,1
514,1,1,1,1,1,1,1,1,1,1,1
515,1,1,1,1,1,1,1,1,1,1,1
516,1,1,1,1,1,1,1,1,1,1,1
517,1,1,1,1,1,1,1,1,1,1,1
518,1,1,1,1,1,1,1,1,1,1,1
519,1,1,1,1,1,1,1,1,1,1,1
520,1,1,1,1,1,1,1,1,1,1,1
521,1,1,1,1,1,1,1,1,1,1,1
522,1,1,1,1,1,1,1,1,1,1,1
523,1,1,1,1,1,1,1,1,1,1,1
524,1,1,1,1,1,1,1,1,1,1,1
525,1,1,1,1,1,1,1,1,1,1,1
526,1,1,1,1,1,1,1,1,1,1,1
527,1,1,1,1,1,1,1,1,1,1,1
528,1,1,1,1,1,1,1,1,1,1,1
529,1,1,1,1,1,1,1,1,1,1,1
530,1,1,1,1,1,1,1,1,1,1,1
531,1,1,1,1,1,1,1,1,1,1,1
532,1,1,1,1,1,1,1,1,1,1,1
533,1,1,1,1,1,1,1,1,1,1,1
534,1,1,1,1,1,1,1,1,1,1,1
535,1,1,1,1,1,1,1,1,1,1,1
536,1,1,1,1,1,1,1,1,1,1,1
537,1,1,1,1,1,1,1,1,1,1,1
538,1,1,1,1,1,1,1,1,1,1,1
539,1,1,1,1,1,1,1,1,1,1,1
540,1,1,1,1,1,1,1,1,1,1,1
541,1,1,1,1,1,1,1,1,1,1,1
542,1,1,1,1,1,1,1,1,1,1,1
543,1,1,1,1,1,1,1,1,1,1,1
544,1,1,1,1,1,1,1,1,1,1,1
545,1,1,1,1,1,1,1,1,1,1,1
546,1,1,1,1,1,1,1,1,1,1,1
547,1,1,1,1,1,1,1,1,1,1,1
548,1,1,1,1,1,1,1,1,1,1,1
549,1,1,1,1,1,1,1,1,1,1,1
550,1,1,1,1,1,1,1,1,1,1,1
551,1,1,1,1,1,1,1,1,1,1,1
552,1,1,1,1,1,1,1,1,1,1,1
553,1,1,1,1,1,1,1,1,1,1,1
554,1,1,1,1,1,1,1,1,1,1,1
555,1,1,1,1,1,1,1,1,1,1,1
556,1,1,1,1,1,1,1,1,1,1,1
557,1,1,1,1,1,1,1,1,1,1,1
558,1,1,1,1,1,1,1,1,1,1,1
559,1,1,1,1,1,1,1,1,1,1,1
560,1,1,1,1,1,1,1,1,1,1,1
561,1,1,1,1,1,1,1,1,1,1,1
562,1,1,1,1,1,1,1,1,1,1,1
563,1,1,1,1,1,1,1,1,1,1,1
564,1,1,1,1,1,1,1,1,1,1,1
565,1,1,1,1,1,1,1,1,1,1,1
566,1,1,1,1,1,1,1,1,1,1,1
567,1,1,1,1,1,1,1,1,1,1,1
568,1,1,1,1,1,1,1,1,1,1,1
569,1,1,1,1,1,1,1,1,1,1,1
570,1,1,1,1,1,1,1,1,1,1,1
571,1,1,1,1,1,1,1,1,1,1,1
572,1,1,1,1,1,1,1,1,1,1,1
573,1,1,1,1,1,1,1,1,1,1,1
574,1,1,1,1,1,1,1,1,1,1,1
575,1,1,1,1,1,1,1,1,1,1,1
576,1,1,1,1,1,1,1,1,1,1,1
577,1,1,1,1,1,1,1,1,1,1,1
578,1,1,1,1,1,1,1,1,1,1,1
579,1,1,1,1,1,1,1,1,1,1,1
580,1,1,1,1,1,1,1,1,1,1,1
581,1,1,1,1,1,1,1,1,1,1,1
582,1,1,1,1,1,1,1,1,1,1,1
583,1,1,1,1,1,1,1,1,1,1,1
584,1,1,1,1,1,1,1,1,1,1,1
585,1,1,1,1,1,1,1,1,1,1,1
308,2,1,1,1,1,1,1,1,1,1,1
309,2,1,1,1,1,1,1,1,1,1,1
310,2,1,1,1,1,1,1,1,1,1,1
311,2,1,1,1,1,1,1,1,1,1,1
312,2,1,1,1,1,1,1,1,1,1,1
313,2,1,1,1,1,1,1,1,1,1,1
314,2,1,1,1,1,1,1,1,1,1,1
315,2,1,1,1,1,1,1,1,1,1,1
316,2,1,1,1,1,1,1,1,1,1,1
317,2,1,1,1,1,1,1,1,1,1,1
318,2,1,1,1,1,1,1,1,1,1,1
319,2,1,1,1,1,1,1,1,1,1,1
320,2,1,1,1,1,1,1,1,1,1,1
321,2,1,1,1,1,1,1,1,1,1,1
322,2,1,1,1,1,1,1,1,1,1,1
323,2,1,1,1,1,1,1,1,1,1,1
324,2,1,1,1,1,1,1,1,1,1,1
325,2,1,1,1,1,1,1,1,1,1,1
326,2,1,1,1,1,1,1,1,1,1,1
327,2,1,1,1,1,1,1,1,1,1,1
328,2,1,1,1,1,1,1,1,1,1,1
329,2,1,1,1,1,1,1,1,1,1,1
330,2,1,1,1,1,1,1,1,1,1,1
331,2,1,1,1,1,1,1,1,1,1,1
332,2,1,1,1,1,1,1,1,1,1,1
333,2,1,1,1,1,1,1,1,1,1,1
334,2,1,1,1,1,1,1,1,1,1,1
335,2,1,1,1,1,1,1,1,1,1,1
336,2,1,1,1,1,1,1,1,1,1,1
337,2,1,1,1,1,1,1,1,1,1,1
338,2,1,1,1,1,1,1,1,1,1,1
339,2,1,1,1,1,1,1,1,1,1,1
340,2,1,1,1,1,1,1,1,1,1,1
341,2,1,1,1,1,1,1,1,1,1,1
342,2,1,1,1,1,1,1,1,1,1,1
343,2,1,1,1,1,1,1,1,1,1,1
344,2,1,1,1,1,1,1,1,1,1,1
345,2,1,1,1,1,1,1,1,1,1,1
346,2,1,1,1,1,1,1,1,1,1,1
347,2,1,1,1,1,1,1,1,1,1,1
348,2,1,1,1,1,1,1,1,1,1,1
349,2,1,1,1,1,1,1,1,1,1,1
350,2,1,1,1,1,1,1,1,1,1,1
351,2,1,1,1,1,1,1,1,1,1,1
352,2,1,1,1,1,1,1,1,1,1,1
353,2,1,1,1,1,1,1,1,1,1,1
354,2,1,1,1,1,1,1,1,1,1,1
355,2,1,1,1,1,1,1,1,1,1,1
356,2,1,1,1,1,1,1,1,1,1,1
357,2,1,1,1,1,1,1,1,1,1,1
358,2,1,1,1,1,1,1,1,1,1,1
359,2,1,1,1,1,1,1,1,1,1,1
360,2,1,1,1,1,1,1,1,1,1,1
361,2,1,1,1,1,1,1,1,1,1,1
362,2,1,1,1,1,1,1,1,1,1,1
363,2,1,1,1,1,1,1,1,1,1,1
364,2,1,1,1,1,1,1,1,1,1,1
365,2,1,1,1,1,1,1,1,1,1,1
366,2,1,1,1,1,1,1,1,1,1,1
367,2,1,1,1,1,1,1,1,1,1,1
368,2,1,1,1,1,1,1,1,1,1,1
369,2,1,1,1,1,1,1,1,1,1,1
370,2,1,1,1,1,1,1,1,1,1,1
371,2,1,1,1,1,1,1,1,1,1,1
372,2,1,1,1,1,1,1,1,1,1,1
373,2,1,1,1,1,1,1,1,1,1,1
374,2,1,1,1,1,1,1,1,1,1,1
375,2,1,1,1,1,1,1,1,1,1,1
376,2,1,1,1,1,1,1,1,1,1,1
377,2,1,1,1,1,1,1,1,1,1,1
378,2,1,1,1,1,1,1,1,1,1,1
379,2,1,1,1,1,1,1,1,1,1,1
380,2,1,1,1,1,1,1,1,1,1,1
381,2,1,1,1,1,1,1,1,1,1,1
382,2,1,1,1,1,1,1,1,1,1,1
383,2,1,1,1,1,1,1,1,1,1,1
384,2,1,1,1,1,1,1,1,1,1,1
385,2,1,1,1,1,1,1,1,1,1,1
386,2,1,1,1,1,1,1,1,1,1,1
387,2,1,1,1,1,1,1,1,1,1,1
388,2,1,1,1,1,1,1,1,1,1,1
389,2,1,1,1,1,1,1,1,1,1,1
390,2,1,1,1,1,1,1,1,1,1,1
391,2,1,1,1,1,1,1,1,1,1,1
392,2,1,1,1,1,1,1,1,1,1,1
393,2,1,1,1,1,1,1,1,1,1,1
394,2,1,1,1,1,1,1,1,1,1,1
395,2,1,1,1,1,1,1,1,1,1,1
396,2,1,1,1,1,1,1,1,1,1,1
397,2,1,1,1,1,1,1,1,1,1,1
398,2,1,1,1,1,1,1,1,1,1,1
399,2,1,1,1,1,1,1,1,1,1,1
400,2,1,1,1,1,1,1,1,1,1,1
401,2,1,1,1,1,1,1,1,1,1,1
402,2,1,1,1,1,1,1,1,1,1,1
403,2,1,1,1,1,1,1,1,1,1,1
404,2,1,1,1,1,1,1,1,1,1,1
405,2,1,1,1,1,1,1,1,1,1,1
406,2,1,1,1,1,1,1,1,1,1,1
407,2,1,1,1,1,1,1,1,1,1,1
408,2,1,1,1,1,1,1,1,1,1,1
409,2,1,1,1,1,1,1,1,1,1,1
410,2,1,1,1,1,1,1,1,1,1,1
411,2,1,1,1,1,1,1,1,1,1,1
412,2,1,1,1,1,1,1,1,1,1,1
413,2,1,1,1,1,1,1,1,1,1,1
414,2,1,1,1,1,1,1,1,1,1,1
415,2,1,1,1,1,1,1,1,1,1,1
416,2,1,1,1,1,1,1,1,1,1,1
417,2,1,1,1,1,1,1,1,1,1,1
418,2,1,1,1,1,1,1,1,1,1,1
419,2,1,1,1,1,1,1,1,1,1,1
420,2,1,1,1,1,1,1,1,1,1,1
421,2,1,1,1,1,1,1,1,1,1,1
422,2,1,1,1,1,1,1,1,1,1,1
423,2,1,1,1,1,1,1,1,1,1,1
424,2,1,1,1,1,1,1,1,1,1,1
425,2,1,1,1,1,1,1,1,1,1,1
426,2,1,1,1,1,1,1,1,1,1,1
427,2,1,1,1,1,1,1,1,1,1,1
428,2,1,1,1,1,1,1,1,1,1,1
429,2,1,1,1,1,1,1,1,1,1,1
430,2,1,1,1,1,1,1,1,1,1,1
431,2,1,1,1,1,1,1,1,1,1,1
432,2,1,1,1,1,1,1,1,1,1,1
433,2,1,1,1,1,1,1,1,1,1,1
434,2,1,1,1,1,1,1,1,1,1,1
435,2,1,1,1,1,1,1,1,1,1,1
436,2,1,1,1,1,1,1,1,1,1,1
437,2,1,1,1,1,1,1,1,1,1,1
438,2,1,1,1,1,1,1,1,1,1,1
439,2,1,1,1,1,1,1,1,1,1,1
440,2,1,1,1,1,1,1,1,1,1,1
441,2,1,1,1,1,1,1,1,1,1,1
442,2,1,1,1,1,1,1,1,1,1,1
443,2,1,1,1,1,1,1,1,1,1,1
444,2,1,1,1,1,1,1,1,1,1,1
445,2,1,1,1,1,1,1,1,1,1,1
446,2,1,1,1,1,1,1,1,1,1,1
447,2,1,1,1,1,1,1,1,1,1,1
448,2,1,1,1,1,1,1,1,1,1,1
449,2,1,1,1,1,1,1,1,1,1,1
450,2,1,1,1,1,1,1,1,1,1,1
451,2,1,1,1,1,1,1,1,1,1,1
452,2,1,1,1,1,1,1,1,1,1,1
453,2,1,1,1,1,1,1,1,1,1,1
454,2,1,1,1,1,1,1,1,1,1,1
455,2,1,1,1,1,1,1,1,1,1,1
456,2,1,1,1,1,1,1,1,1,1,1
457,2,1,1,1,1,1,1,1,1,1,1
458,2,1,1,1,1,1,1,1,1,1,1
459,2,1,1,1,1,1,1,1,1,1,1
460,2,1,1,1,1,1,1,1,1,1,1
461,2,1,1,1,1,1,1,1,1,1,1
462,2,1,1,1,1,1,1,1,1,1,1
463,2,1,1,1,1,1,1,1,1,1,1
464,2,1,1,1,1,1,1,1,1,1,1
465,2,1,1,1,1,1,1,1,1,1,1
466,2,1,1,1,1,1,1,1,1,1,1
467,2,1,1,1,1,1,1,1,1,1,1
468,2,1,1,1,1,1,1,1,1,1,1
469,2,1,1,1,1,1,1,1,1,1,1
470,2,1,1,1,1,1,1,1,1,1,1
471,2,1,1,1,1,1,1,1,1,1,1
472,2,1,1,1,1,1,1,1,1,1,1
473,2,1,1,1,1,1,1,1,1,1,1
474,2,1,1,1,1,1,1,1,1,1,1
475,2,1,1,1,1,1,1,1,1,1,1
476,2,1,1,1,1,1,1,1,1,1,1
477,2,1,1,1,1,1,1,1,1,1,1
478,2,1,1,1,1,1,1,1,1,1,1
479,2,1,1,1,1,1,1,1,1,1,1
480,2,1,1,1,1,1,1,1,1,1,1
481,2,1,1,1,1,1,1,1,1,1,1
482,2,1,1,1,1,1,1,1,1,1,1
483,2,1,1,1,1,1,1,1,1,1,1
484,2,1,1,1,1,1,1,1,1,1,1
485,2,1,1,1,1,1,1,1,1,1,1
486,2,1,1,1,1,1,1,1,1,1,1
487,2,1,1,1,1,1,1,1,1,1,1
488,2,1,1,1,1,1,1,1,1,1,1
489,2,1,1,1,1,1,1,1,1,1,1
490,2,1,1,1,1,1,1,1,1,1,1
491,2,1,1,1,1,1,1,1,1,1,1
492,2,1,1,1,1,1,1,1,1,1,1
493,2,1,1,1,1,1,1,1,1,1,1
494,2,1,1,1,1,1,1,1,1,1,1
495,2,1,1,1,1,1,1,1,1,1,1
496,2,1,1,1,1,1,1,1,1,1,1
497,2,1,1,1,1,1,1,1,1,1,1
498,2,1,1,1,1,1,1,1,1,1,1
499,2,1,1,1,1,1,1,1,1,1,1
500,2,1,1,1,1,1,1,1,1,1,1
501,2,1,1,1,1,1,1,1,1,1,1
502,2,1,1,1,1,1,1,1,1,1,1
503,2,1,1,1,1,1,1,1,1,1,1
504,2,1,1,1,1,1,1,1,1,1,1
505,2,1,1,1,1,1,1,1,1,1,1
506,2,1,1,1,1,1,1,1,1,1,1
507,2,1,1,1,1,1,1,1,1,1,1
508,2,1,1,1,1,1,1,1,1,1,1
509,2,1,1,1,1,1,1,1,1,1,1
510,2,1,1,1,1,1,1,1,1,1,1
511,2,1,1,1,1,1,1,1,1,1,1
512,2,1,1,1,1,1,1,1,1,1,1
513,2,1,1,1,1,1,1,1,1,1,1
514,2,1,1,1,1,1,1,1,1,1,1
515,2,1,1,1,1,1,1,1,1,1,1
516,2,1,1,1,1,1,1,1,1,1,1
517,2,1,1,1,1,1,1,1,1,1,1
518,2,1,1,1,1,1,1,1,1,1,1
519,2,1,1,1,1,1,1,1,1,1,1
520,2,1,1,1,1,1,1,1,1,1,1
521,2,1,1,1,1,1,1,1,1,1,1
522,2,1,1,1,1,1,1,1,1,1,1
523,2,1,1,1,1,1,1,1,1,1,1
524,2,1,1,1,1,1,1,1,1,1,1
525,2,1,1,1,1,1,1,1,1,1,1
526,2,1,1,1,1,1,1,1,1,1,1
527,2,1,1,1,1,1,1,1,1,1,1
528,2,1,1,1,1,1,1,1,1,1,1
529,2,1,1,1,1,1,1,1,1,1,1
530,2,1,1,1,1,1,1,1,1,1,1
531,2,1,1,1,1,1,1,1,1,1,1
532,2,1,1,1,1,1,1,1,1,1,1
533,2,1,1,1,1,1,1,1,1,1,1
534,2,1,1,1,1,1,1,1,1,1,1
535,2,1,1,1,1,1,1,1,1,1,1
536,2,1,1,1,1,1,1,1,1,1,1
537,2,1,1,1,1,1,1,1,1,1,1
538,2,1,1,1,1,1,1,1,1,1,1
539,2,1,1,1,1,1,1,1,1,1,1
540,2,1,1,1,1,1,1,1,1,1,1
541,2,1,1,1,1,1,1,1,1,1,1
542,2,1,1,1,1,1,1,1,1,1,1
543,2,1,1,1,1,1,1,1,1,1,1
544,2,1,1,1,1,1,1,1,1,1,1
545,2,1,1,1,1,1,1,1,1,1,1
546,2,1,1,1,1,1,1,1,1,1,1
547,2,1,1,1,1,1,1,1,1,1,1
548,2,1,1,1,1,1,1,1,1,1,1
549,2,1,1,1,1,1,1,1,1,1,1
550,2,1,1,1,1,1,1,1,1,1,1
551,2,1,1,1,1,1,1,1,1,1,1
552,2,1,1,1,1,1,1,1,1,1,1
553,2,1,1,1,1,1,1,1,1,1,1
554,2,1,1,1,1,1,1,1,1,1,1
555,2,1,1,1,1,1,1,1,1,1,1
556,2,1,1,1,1,1,1,1,1,1,1
557,2,1,1,1,1,1,1,1,1,1,1
558,2,1,1,1,1,1,1,1,1,1,1
559,2,1,1,1,1,1,1,1,1,1,1
560,2,1,1,1,1,1,1,1,1,1,1
561,2,1,1,1,1,1,1,1,1,1,1
562,2,1,1,1,1,1,1,1,1,1,1
563,2,1,1,1,1,1,1,1,1,1,1
564,2,1,1,1,1,1,1,1,1,1,1
565,2,1,1,1,1,1,1,1,1,1,1
566,2,1,1,1,1,1,1,1,1,1,1
567,2,1,1,1,1,1,1,1,1,1,1
568,2,1,1,1,1,1,1,1,1,1,1
569,2,1,1,1,1,1,1,1,1,1,1
570,2,1,1,1,1,1,1,1,1,1,1
571,2,1,1,1,1,1,1,1,1,1,1
572,2,1,1,1,1,1,1,1,1,1,1
573,2,1,1,1,1,1,1,1,1,1,1
574,2,1,1,1,1,1,1,1,1,1,1
575,2,1,1,1,1,1,1,1,1,1,1
576,2,1,1,1,1,1,1,1,1,1,1
577,2,1,1,1,1,1,1,1,1,1,1
578,2,1,1,1,1,1,1,1,1,1,1
579,2,1,1,1,1,1,1,1,1,1,1
580,2,1,1,1,1,1,1,1,1,1,1
581,2,1,1,1,1,1,1,1,1,1,1
582,2,1,1,1,1,1,1,1,1,1,1
583,2,1,1,1,1,1,1,1,1,1,1
584,2,1,1,1,1,1,1,1,1,1,1
585,2,1,1,1,1,1,1,1,1,1,1
308,3,1,2.03252032520325,3.86100386100386,1,1,1,2.03252032520325,3.86100386100386,1,1
309,3,1,2.03252032520325,3.86100386100386,1,1,1,2.03252032520325,3.86100386100386,1,1
310,3,1,2.03252032520325,3.86100386100386,1,1,1,2.03252032520325,3.86100386100386,1,1
311,3,1,2.03252032520325,3.86100386100386,1,1,1,2.03252032520325,3.86100386100386,1,1
312,3,1,2.03252032520325,3.86100386100386,1,1,1,2.03252032520325,3.86100386100386,1,1
313,3,1,2.03252032520325,3.86100386100386,1,1,1,2.03252032520325,3.86100386100386,1,1
314,3,1,2.03252032520325,3.86100386100386,1,1,1,2.03252032520325,3.86100386100386,1,1
315,3,1,2.03252032520325,3.86100386100386,1,1,1,2.03252032520325,3.86100386100386,1,1
316,3,1,2.03252032520325,3.86100386100386,1,1,1,2.03252032520325,3.86100386100386,1,1
317,3,1,2.03252032520325,3.86100386100386,1,1,1,2.03252032520325,3.86100386100386,1,1
